year	number of hunters	region area (km²)	region
1976	235	23360	Skeena
1977	248	23360	Skeena
1978	329	23360	Skeena
1979	213	23360	Skeena
1980	249	23360	Skeena
1981	244	23360	Skeena
1982	202	23360	Skeena
1983	203	23360	Skeena
1984	160	23360	Skeena
1985	193	23360	Skeena
1986	172	23360	Skeena
1987	228	23360	Skeena
1988	201	23360	Skeena
1989	244	23360	Skeena
1990	289	23360	Skeena
1991	278	23360	Skeena
1992	258	23360	Skeena
1993	294	23360	Skeena
1994	267	23360	Skeena
1995	339	23360	Skeena
1996	265	23360	Skeena
1997	258	23360	Skeena
1998	255	23360	Skeena
1999	241	23360	Skeena
2000	204	23360	Skeena
2001	257	23360	Skeena
2002	213	23360	Skeena
2003	222	23360	Skeena
2004	155	23360	Skeena
2005	238	23360	Skeena
2006	219	23360	Skeena
2007	268	23360	Skeena
2008	281	23360	Skeena
2009	332	23360	Skeena
2010	287	23360	Skeena
2011	320	23360	Skeena
1976	371	19194	Peace
1977	452	19194	Peace
1978	417	19194	Peace
1979	350	19194	Peace
1980	401	19194	Peace
1981	474	19194	Peace
1982	377	19194	Peace
1983	342	19194	Peace
1984	298	19194	Peace
1985	330	19194	Peace
1986	509	19194	Peace
1987	487	19194	Peace
1988	564	19194	Peace
1989	669	19194	Peace
1990	644	19194	Peace
1991	615	19194	Peace
1992	739	19194	Peace
1993	701	19194	Peace
1994	623	19194	Peace
1995	677	19194	Peace
1996	616	19194	Peace
1997	637	19194	Peace
1998	839	19194	Peace
1999	790	19194	Peace
2000	634	19194	Peace
2001	600	19194	Peace
2002	636	19194	Peace
2003	565	19194	Peace
2004	362	19194	Peace
2005	512	19194	Peace
2006	583	19194	Peace
2007	647	19194	Peace
2008	671	19194	Peace
2009	688	19194	Peace
2010	678	19194	Peace
2011	715	19194	Peace
