age at harvest (years)	mean horn length (mm)	standard error of horn length	mean horn circumference (mm)	standard error of horn circumference	region
4	673.5556	21.185760	316.1111	4.882346	Skeena
5	794.6491	9.335319	332.3036	2.823036	Skeena
6	841.4410	5.089056	333.8333	2.123643	Skeena
7	874.5112	3.414102	341.4752	1.399064	Skeena
8	889.6562	3.012543	339.0320	1.332208	Skeena
9	911.4057	3.006081	338.7373	1.058999	Skeena
10	924.4205	4.104897	341.0105	1.365132	Skeena
11	919.5108	7.067834	337.1978	2.253626	Skeena
12	933.8812	2.871543	340.7959	2.056626	Skeena
13	939.3125	11.205296	334.9787	3.091376	Skeena
4	739.8421	17.249843	324.5263	6.4894827	Peace
5	822.2414	5.667928	341.0208	2.5312125	Peace
6	860.4693	2.546664	345.5886	0.8076655	Peace
7	882.2427	2.204112	345.2415	0.6587722	Peace
8	897.5097	1.712713	345.6836	0.6132704	Peace
9	909.0520	1.874683	346.1431	0.5830162	Peace
10	912.2259	2.760884	345.3193	0.7722341	Peace
11	911.1149	4.108108	347.4415	0.9568048	Peace
12	919.1169	8.004354	343.0197	3.0588566	Peace
13	903.6349	15.536889	343.4576	2.3150101	Peace
