cohort	early horn growth (mm)	standard error of early horn growth	region
1972	324.7200	9.307361	Skeena
1973	328.0328	7.428750	Skeena
1974	330.4286	8.765317	Skeena
1975	326.2353	11.853387	Skeena
1976	346.0667	9.769638	Skeena
1977	351.6557	6.219478	Skeena
1978	341.2809	5.779596	Skeena
1979	323.6827	5.350474	Skeena
1980	306.1947	4.864762	Skeena
1981	304.9737	7.791335	Skeena
1982	332.4815	6.733258	Skeena
1983	329.1519	7.331092	Skeena
1984	337.8866	5.170646	Skeena
1985	326.1053	6.555756	Skeena
1986	343.3021	5.811515	Skeena
1987	355.5542	6.712348	Skeena
1988	342.5238	5.462243	Skeena
1989	308.8878	6.522145	Skeena
1990	285.3012	8.743172	Skeena
1991	321.7385	7.618654	Skeena
1992	317.4194	7.743766	Skeena
1993	327.7917	6.369121	Skeena
1994	327.6966	8.141769	Skeena
1995	344.3919	6.783608	Skeena
1996	352.3556	6.205095	Skeena
1997	324.5876	7.496817	Skeena
1998	339.6988	7.488942	Skeena
1999	364.0602	7.415116	Skeena
2000	346.2471	7.533713	Skeena
1972	320.2039	7.410579	Peace
1973	334.0303	7.090667	Peace
1974	357.9143	7.569254	Peace
1975	366.7448	5.049143	Peace
1976	349.0638	4.702682	Peace
1977	350.7654	5.074142	Peace
1978	341.9286	5.009248	Peace
1979	315.3317	4.697582	Peace
1980	307.3716	4.982557	Peace
1981	317.5879	5.758839	Peace
1982	329.5054	5.557188	Peace
1983	324.8303	5.624849	Peace
1984	324.9942	4.658000	Peace
1985	338.6211	5.331572	Peace
1986	344.7581	4.410101	Peace
1987	332.9471	4.112084	Peace
1988	310.7384	4.634761	Peace
1989	310.3750	4.249034	Peace
1990	305.5337	4.892304	Peace
1991	311.4332	4.722913	Peace
1992	313.4576	5.148644	Peace
1993	306.6982	5.470249	Peace
1994	291.6974	5.146567	Peace
1995	294.2536	6.614980	Peace
1996	293.3750	6.252776	Peace
1997	314.6078	5.363564	Peace
1998	313.2422	5.353025	Peace
1999	323.2593	4.802341	Peace
2000	306.1187	4.160958	Peace
