cohort	age class	mean horn length (mm)	standard error of horn length	region
1972	5_7	836.4733	14.67531	Skeena
1973	5_7	826.5592	15.22014	Skeena
1974	5_7	830.3667	13.30056	Skeena
1975	5_7	856.9966	20.73704	Skeena
1976	5_7	801.7796	43.71765	Skeena
1977	5_7	872.5206	15.69845	Skeena
1978	5_7	873.5827	22.78635	Skeena
1979	5_7	849.7748	11.46953	Skeena
1980	5_7	870.2424	12.63419	Skeena
1981	5_7	855.5947	11.39968	Skeena
1982	5_7	868.2714	12.35953	Skeena
1983	5_7	881.9268	12.51973	Skeena
1984	5_7	857.8339	15.77274	Skeena
1985	5_7	883.0664	16.11958	Skeena
1986	5_7	851.4901	22.77839	Skeena
1987	5_7	879.3685	16.62348	Skeena
1988	5_7	893.3504	12.54323	Skeena
1989	5_7	900.6152	14.31793	Skeena
1990	5_7	885.1536	14.06484	Skeena
1991	5_7	863.8879	25.27723	Skeena
1992	5_7	841.0639	18.17358	Skeena
1993	5_7	873.4575	12.48792	Skeena
1994	5_7	845.3865	32.93828	Skeena
1995	5_7	878.3076	15.94959	Skeena
1996	5_7	889.0427	14.99590	Skeena
1997	5_7	895.1327	14.40113	Skeena
1998	5_7	863.1023	16.76108	Skeena
1999	5_7	876.0982	12.20810	Skeena
2000	5_7	879.7849	15.38602	Skeena
1972	8_10	912.5463	16.158957	Skeena
1973	8_10	900.5052	15.416343	Skeena
1974	8_10	901.8461	20.589101	Skeena
1975	8_10	908.2292	18.684338	Skeena
1976	8_10	945.4387	22.972137	Skeena
1977	8_10	926.9463	9.882085	Skeena
1978	8_10	925.9590	8.395542	Skeena
1979	8_10	906.2615	7.779307	Skeena
1980	8_10	913.3276	7.985217	Skeena
1981	8_10	915.6263	10.364025	Skeena
1982	8_10	934.0746	7.482225	Skeena
1983	8_10	918.9672	8.315939	Skeena
1984	8_10	933.7099	9.405579	Skeena
1985	8_10	910.1416	8.991665	Skeena
1986	8_10	889.1154	25.197052	Skeena
1987	8_10	913.6857	14.099890	Skeena
1988	8_10	942.5977	8.724814	Skeena
1989	8_10	926.6183	9.510012	Skeena
1990	8_10	897.9953	10.509893	Skeena
1991	8_10	921.7729	9.843893	Skeena
1992	8_10	921.2120	9.656746	Skeena
1993	8_10	906.3256	8.976138	Skeena
1994	8_10	886.1615	12.137058	Skeena
1995	8_10	898.6856	8.883423	Skeena
1996	8_10	922.1467	7.451418	Skeena
1997	8_10	900.6929	7.680204	Skeena
1998	8_10	922.7543	6.655220	Skeena
1999	8_10	910.6674	8.390338	Skeena
2000	8_10	895.0626	16.235191	Skeena
1972	11_13	985.6806	62.08647	Skeena
1973	11_13	950.1659	31.76092	Skeena
1974	11_13	944.8869	29.85611	Skeena
1975	11_13	918.9587	17.67419	Skeena
1976	11_13	957.1426	23.98003	Skeena
1977	11_13	929.5530	18.63247	Skeena
1978	11_13	941.8942	15.04673	Skeena
1979	11_13	943.9666	14.47104	Skeena
1980	11_13	952.5866	17.95193	Skeena
1981	11_13	929.2851	14.47066	Skeena
1982	11_13	920.2072	23.97055	Skeena
1983	11_13	985.9916	16.32125	Skeena
1984	11_13	952.5603	28.26173	Skeena
1985	11_13	938.0518	13.08307	Skeena
1986	11_13	927.8358	31.53755	Skeena
1987	11_13	924.5647	13.66686	Skeena
1988	11_13	985.0671	14.65448	Skeena
1989	11_13	929.6883	16.69350	Skeena
1990	11_13	905.5747	19.90982	Skeena
1991	11_13	951.2095	10.91988	Skeena
1992	11_13	901.8385	16.88651	Skeena
1993	11_13	900.8671	20.77694	Skeena
1994	11_13	915.1191	18.01828	Skeena
1995	11_13	945.1003	24.08229	Skeena
1996	11_13	950.3606	11.33866	Skeena
1997	11_13	898.6410	17.28955	Skeena
1998	11_13	809.0398	124.12811	Skeena
1999	11_13	954.6754	21.03165	Skeena
2000	11_13	926.2454	36.02986	Skeena
1972	5_7	867.5649	23.438353	Peace
1973	5_7	888.2405	9.336310	Peace
1974	5_7	902.7435	8.369726	Peace
1975	5_7	870.0294	15.171253	Peace
1976	5_7	876.6032	10.210849	Peace
1977	5_7	883.5962	9.460389	Peace
1978	5_7	900.7010	9.904415	Peace
1979	5_7	890.4038	9.589729	Peace
1980	5_7	899.0113	10.536776	Peace
1981	5_7	893.2308	8.231166	Peace
1982	5_7	892.3845	11.729553	Peace
1983	5_7	910.3478	7.565589	Peace
1984	5_7	892.3030	8.024514	Peace
1985	5_7	905.5918	7.194644	Peace
1986	5_7	887.2376	5.527703	Peace
1987	5_7	892.4689	8.238127	Peace
1988	5_7	906.1367	9.184895	Peace
1989	5_7	919.7177	8.864315	Peace
1990	5_7	910.2358	10.825827	Peace
1991	5_7	891.3849	9.422248	Peace
1992	5_7	881.8804	9.508055	Peace
1993	5_7	874.7776	11.608620	Peace
1994	5_7	875.1017	11.153954	Peace
1995	5_7	871.3622	17.083061	Peace
1996	5_7	862.7940	20.535021	Peace
1997	5_7	879.2858	14.585862	Peace
1998	5_7	893.1072	8.463829	Peace
1999	5_7	910.5639	9.041356	Peace
2000	5_7	895.4875	8.197123	Peace
1972	8_10	912.2008	9.051471	Peace
1973	8_10	922.6072	11.446173	Peace
1974	8_10	939.6184	14.506517	Peace
1975	8_10	918.7187	9.980542	Peace
1976	8_10	901.7042	9.178590	Peace
1977	8_10	920.5906	7.232090	Peace
1978	8_10	929.5817	7.997803	Peace
1979	8_10	940.0953	5.008548	Peace
1980	8_10	923.6103	5.673019	Peace
1981	8_10	933.0812	6.169977	Peace
1982	8_10	928.5264	6.656972	Peace
1983	8_10	912.0150	6.623296	Peace
1984	8_10	919.0479	7.759033	Peace
1985	8_10	925.6469	5.802831	Peace
1986	8_10	913.2846	6.418221	Peace
1987	8_10	927.2469	5.282617	Peace
1988	8_10	922.7788	6.066163	Peace
1989	8_10	943.2488	6.628173	Peace
1990	8_10	917.8305	7.005989	Peace
1991	8_10	896.4701	7.666734	Peace
1992	8_10	902.7975	6.347884	Peace
1993	8_10	902.2960	6.488299	Peace
1994	8_10	903.8642	7.639595	Peace
1995	8_10	907.0443	6.970649	Peace
1996	8_10	885.9231	7.748536	Peace
1997	8_10	904.0843	6.840009	Peace
1998	8_10	884.7237	8.827601	Peace
1999	8_10	909.9070	6.215081	Peace
2000	8_10	912.4473	5.722923	Peace
1973	11_13	916.4657	37.25399	Peace
1974	11_13	928.8098	31.86822	Peace
1975	11_13	953.1861	18.96214	Peace
1976	11_13	981.1451	12.09549	Peace
1977	11_13	939.0442	11.22005	Peace
1978	11_13	911.2207	29.27110	Peace
1979	11_13	942.7168	13.34661	Peace
1980	11_13	949.5899	15.28732	Peace
1981	11_13	946.8745	18.41658	Peace
1982	11_13	919.8606	15.64400	Peace
1983	11_13	914.5964	23.50379	Peace
1984	11_13	924.4237	15.69550	Peace
1985	11_13	860.9193	44.37378	Peace
1986	11_13	925.7685	15.77204	Peace
1987	11_13	919.7539	13.75237	Peace
1988	11_13	921.3331	23.21286	Peace
1989	11_13	936.7368	16.45345	Peace
1990	11_13	917.6961	13.66956	Peace
1991	11_13	911.2059	17.93536	Peace
1992	11_13	927.3165	17.99162	Peace
1993	11_13	948.3052	16.26053	Peace
1994	11_13	886.9054	23.62592	Peace
1995	11_13	887.4066	17.48801	Peace
1996	11_13	919.3241	19.53301	Peace
1997	11_13	909.9947	14.59348	Peace
1998	11_13	926.2293	15.23433	Peace
1999	11_13	905.2876	21.46439	Peace
2000	11_13	904.6719	19.89483	Peace
