"x","y","se","age","filename","Pop","species","study"
1972,83.64733,1.467531,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1973,82.65592,1.522014,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1974,83.03667,1.330056,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1975,85.69966,2.073704,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1976,80.17796,4.371765,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1977,87.25206,1.569845,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1978,87.35827,2.278635,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1979,84.97748,1.146953,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1980,87.02424,1.263419,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1981,85.55947,1.139968,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1982,86.82714,1.235953,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1983,88.19268,1.251973,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1984,85.78339,1.577274,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1985,88.30664,1.611958,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1986,85.14901,2.277839,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1987,87.93685,1.662348,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1988,89.33504,1.254323,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1989,90.06152,1.431793,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1990,88.51536,1.406484,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1991,86.38879,2.527723,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1992,84.10639,1.817358,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1993,87.34575,1.248792,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1994,84.53865,3.293828,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1995,87.83076,1.594959,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1996,88.90427,1.49959,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1997,89.51327,1.440113,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1998,86.31023,1.676108,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1999,87.60982,1.22081,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
2000,87.97849,1.538602,"5_7","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1972,91.25463,1.6158957,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1973,90.05052,1.5416343,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1974,90.18461,2.0589101,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1975,90.82292,1.8684338,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1976,94.54387,2.2972137,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1977,92.69463,0.9882085,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1978,92.5959,0.8395542,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1979,90.62615,0.7779307,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1980,91.33276,0.7985217,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1981,91.56263,1.0364025,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1982,93.40746,0.7482225,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1983,91.89672,0.8315939,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1984,93.37099,0.9405579,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1985,91.01416,0.8991665,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1986,88.91154,2.5197052,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1987,91.36857,1.409989,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1988,94.25977,0.8724814,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1989,92.66183,0.9510012,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1990,89.79953,1.0509893,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1991,92.17729,0.9843893,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1992,92.1212,0.9656746,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1993,90.63256,0.8976138,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1994,88.61615,1.2137058,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1995,89.86856,0.8883423,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1996,92.21467,0.7451418,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
1997,90.06929,0.7680204,"8_10","Douhard2016_Skeena","Skeena","Stones sheep","Douhard(2016)"
