"slope","se","type","study"
-0.89705299007318,0.163813398416831,"mean","Col(2003)"
-0.0257736382646089,0.0262494259819947,"scatter","Corlatti_HornS"
-0.0692122577181399,0.0256856790784254,"mean","Douhard(2016)"
0.0322345408907802,0.0408424063440266,"mean","Douhard(2016)"
-0.55305225604565,0.0901101371587066,"scatter","Garel_2007"
-0.650054498075115,0.0737541089037083,"scatter","Garel_2007"
-0.432867498196054,0.0634551162867476,"scatter","Garel_2007"
-0.476110955671481,0.0861650953960287,"scatter","Garel_2007"
-0.00769207395992226,0.0541749873292846,"mean","MA_Structsize_Year_Mon(2013)"
-0.288365749801582,0.095372721188507,"mean","MA_Structsize_Year_Mon(2013)"
0.00162695053579914,0.0290322715759113,"mean","MA_Structsize_Year_Mon(2013)"
-0.00296433239632963,0.0418346985023857,"mean","MA_Structsize_Year_Mon(2013)"
0.0394156527850987,0.0509322449445828,"mean","MA_Structsize_Year_Mon(2013)"
-0.408464260560441,0.0863181382678551,"mean","MA_Structsize_Year_Mon(2013)"
-0.097156534114642,0.0528414196959616,"mean","MA_Structsize_Year_Mon(2013)"
-0.094288683976534,0.0393036651440936,"mean","MA_Structsize_Year_Mon(2013)"
-0.320971264002867,0.229211306395612,"mean","MA_Structsize_Year_Mon(2013)"
-0.133862341567494,0.0326224677525861,"mean","MA_Structsize_Year_Mon(2013)"
-0.125798940777638,0.0228337561961401,"mean","MA_Structsize_Year_Mon(2013)"
-0.230178063524792,0.0928436417363756,"mean","MA_Structsize_Year_Mon(2013)"
0.331300753486269,0.0776813940372202,"mean","MA_Structsize_Year_Mon(2013)"
-0.0377659171460107,0.0817603344525188,"mean","MA_Structsize_Year_Mon(2013)"
-0.571958766595615,0.326220896250954,"mean","MA_Structsize_Year_Mon(2013)"
-0.605773562876897,0.28227423060079,"mean","MA_Structsize_Year_Mon(2013)"
-0.499851882847604,0.243558539717612,"mean","MA_Structsize_Year_Mon(2013)"
0.00322854901636059,0.00993045706369885,"mean","MA_Structsize_Year_Mon(2013)"
-0.17752201763691,0.0842960413020605,"mean","MA_Structsize_Year_Mon(2013)"
-0.130367743776864,0.0525383103697095,"mean","MA_Structsize_Year_Mon(2013)"
-0.0987385865124336,0.0400361355894802,"mean","MA_Structsize_Year_Mon(2013)"
-0.196312194219688,0.344113086623402,"mean","MA_Structsize_Year_Mon(2013)"
-0.428326690271872,0.232657331948296,"mean","MA_Structsize_Year_Mon(2013)"
-0.371171983695816,0.064178803885789,"scatter","Pelle_Alive "
-0.117897881646663,0.25999590822828,"scatter","Pelle_Shot"
